GroupId,Value,Year
147,0,2038
147,0,2039
147,0,2040
147,0,2041
147,0,2042
147,0,2043
147,0,2044
147,0,2045
149,0.4,2018
149,0.304593,2019
149,0.25664,2020
149,0.185779,2021
149,0.147068,2022
149,0.065929,2023
149,0,2024
149,0,2025
149,0,2026
149,0,2027
149,0,2028
149,0,2029
149,0,2030
149,0,2031
149,0,2032
149,0,2033
149,0,2034
149,0,2035
149,0,2036
149,0,2037
149,0,2038
149,0,2039
149,0,2040
149,0,2041
149,0,2042
149,0,2043
149,0,2044
149,0,2045
145,0.4,2018
145,0.276467,2019
145,0.214377,2020
145,0.122625,2021
145,0.072502,2022
145,0,2023
145,0,2024
145,0,2025
145,0,2026
145,0,2027
145,0,2028
145,0,2029
145,0,2030
145,0,2031
145,0,2032
145,0,2033
145,0,2034
145,0,2035
145,0,2036
145,0,2037
145,0,2038
145,0,2039
145,0,2040
145,0,2041
145,0,2042
145,0,2043
145,0,2044
145,0,2045
15,0.4,2018
15,0.33455,2019
15,0.301654,2020
15,0.253043,2021
15,0.226487,2022
15,0.170825,2023
15,0.098402,2024
15,0.016279,2025
15,0,2026
15,0,2027
15,0,2028
15,0,2029
15,0,2030
15,0,2031
15,0,2032
15,0,2033
15,0,2034
15,0,2035
15,0,2036
15,0,2037
15,0,2038
15,0,2039
15,0,2040
15,0,2041
15,0,2042
15,0,2043
15,0,2044
15,0,2045
129,0.4,2018
129,0.215208,2019
129,0.12233,2020
129,0,2021
129,0,2022
129,0,2023
129,0,2024
129,0,2025
129,0,2026
129,0,2027
129,0,2028
129,0,2029
129,0,2030
129,0,2031
129,0,2032
129,0,2033
129,0,2034
129,0,2035
129,0,2036
129,0,2037
129,0,2038
129,0,2039
129,0,2040
129,0,2041
129,0,2042
129,0,2043
129,0,2044
129,0,2045
150,0.75,2018
150,0.660952,2019
150,0.616195,2020
150,0.550056,2021
150,0.513925,2022
150,0.438194,2023
150,0.339658,2024
150,0.227925,2025
150,0.094013,2026
150,0,2027
150,0,2028
150,0,2029
150,0,2030
150,0,2031
150,0,2032
150,0,2033
150,0,2034
150,0,2035
150,0,2036
150,0,2037
150,0,2038
150,0,2039
150,0,2040
150,0,2041
150,0,2042
150,0,2043
150,0,2044
150,0,2045
144,0.1,2018
144,0.061305,2019
144,0.041856,2020
144,0.013116,2021
144,0,2022
144,0,2023
144,0,2024
144,0,2025
144,0,2026
144,0,2027
144,0,2028
144,0,2029
144,0,2030
144,0,2031
144,0,2032
144,0,2033
144,0,2034
144,0,2035
144,0,2036
144,0,2037
144,0,2038
144,0,2039
144,0,2040
144,0,2041
144,0,2042
144,0,2043
144,0,2044
144,0,2045
128,0.4,2018
128,0.338962,2019
128,0.308283,2020
128,0.262948,2021
128,0.238182,2022
128,0.186272,2023
128,0.11873,2024
128,0.042142,2025
128,0,2026
128,0,2027
128,0,2028
128,0,2029
128,0,2030
128,0,2031
128,0,2032
128,0,2033
128,0,2034
128,0,2035
128,0,2036
128,0,2037
128,0,2038
128,0,2039
128,0,2040
128,0,2041
128,0,2042
128,0,2043
128,0,2044
128,0,2045
152,0.225,2018
152,0.048393,2019
152,0,2020
152,0,2021
152,0,2022
152,0,2023
152,0,2024
152,0,2025
152,0,2026
152,0,2027
152,0,2028
152,0,2029
152,0,2030
152,0,2031
152,0,2032
152,0,2033
152,0,2034
152,0,2035
152,0,2036
152,0,2037
152,0,2038
152,0,2039
152,0,2040
152,0,2041
152,0,2042
152,0,2043
152,0,2044
152,0,2045
131,0.225,2018
131,0,2019
131,0,2020
131,0,2021
131,0,2022
131,0,2023
131,0,2024
131,0,2025
131,0,2026
131,0,2027
131,0,2028
131,0,2029
131,0,2030
131,0,2031
131,0,2032
131,0,2033
131,0,2034
131,0,2035
131,0,2036
131,0,2037
131,0,2038
131,0,2039
131,0,2040
131,0,2041
131,0,2042
131,0,2043
131,0,2044
131,0,2045
154,0.4,2018
154,0.308793,2019
154,0.262951,2020
154,0.195209,2021
154,0.158202,2022
154,0.080635,2023
154,0,2024
154,0,2025
154,0,2026
154,0,2027
154,0,2028
154,0,2029
154,0,2030
154,0,2031
154,0,2032
154,0,2033
154,0,2034
154,0,2035
154,0,2036
154,0,2037
154,0,2038
154,0,2039
154,0,2040
154,0,2041
154,0,2042
154,0,2043
154,0,2044
154,0,2045
155,0.4,2018
155,0.345208,2019
155,0.317669,2020
155,0.276974,2021
155,0.254742,2022
155,0.208145,2023
155,0.147516,2024
155,0.078766,2025
155,0,2026
155,0,2027
155,0,2028
155,0,2029
155,0,2030
155,0,2031
155,0,2032
155,0,2033
155,0,2034
155,0,2035
155,0,2036
155,0,2037
155,0,2038
155,0,2039
155,0,2040
155,0,2041
155,0,2042
155,0,2043
155,0,2044
155,0,2045
159,0.75,2018
159,0.685371,2019
159,0.652888,2020
159,0.604885,2021
159,0.578662,2022
159,0.523698,2023
159,0.452184,2024
159,0.37109,2025
159,0.2739,2026
159,0.154059,2027
159,0,2028
159,0,2029
159,0,2030
159,0,2031
159,0,2032
159,0,2033
159,0,2034
159,0,2035
159,0,2036
159,0,2037
159,0,2038
159,0,2039
159,0,2040
159,0,2041
159,0,2042
159,0,2043
159,0,2044
159,0,2045
168,0.1,2018
168,0,2019
168,0,2020
168,0,2021
168,0,2022
168,0,2023
168,0,2024
168,0,2025
168,0,2026
168,0,2027
168,0,2028
168,0,2029
168,0,2030
168,0,2031
168,0,2032
168,0,2033
168,0,2034
168,0,2035
168,0,2036
168,0,2037
168,0,2038
168,0,2039
168,0,2040
168,0,2041
168,0,2042
168,0,2043
168,0,2044
168,0,2045
156,0.75,2018
156,0.635807,2019
156,0.578412,2020
156,0.493597,2021
156,0.447263,2022
156,0.350148,2023
156,0.223788,2024
156,0.080504,2025
156,0,2026
156,0,2027
156,0,2028
156,0,2029
156,0,2030
156,0,2031
156,0,2032
156,0,2033
156,0,2034
156,0,2035
156,0,2036
156,0,2037
156,0,2038
156,0,2039
156,0,2040
156,0,2041
156,0,2042
156,0,2043
156,0,2044
156,0,2045
169,0.4,2018
169,0.37227,2019
169,0.358333,2020
169,0.337737,2021
169,0.326486,2022
169,0.302904,2023
169,0.27222,2024
169,0.237426,2025
169,0.195726,2026
169,0.144307,2027
169,0.077337,2028
169,0,2029
169,0,2030
169,0,2031
169,0,2032
169,0,2033
169,0,2034
169,0,2035
169,0,2036
169,0,2037
169,0,2038
169,0,2039
169,0,2040
169,0,2041
169,0,2042
169,0,2043
169,0,2044
169,0,2045
173,0.75,2018
173,0.673863,2019
173,0.635596,2020
173,0.579047,2021
173,0.548155,2022
173,0.483404,2023
173,0.399156,2024
173,0.303624,2025
173,0.189128,2026
173,0.047949,2027
173,0,2028
173,0,2029
173,0,2030
173,0,2031
173,0,2032
173,0,2033
173,0,2034
173,0,2035
173,0,2036
173,0,2037
173,0,2038
173,0,2039
173,0,2040
173,0,2041
173,0,2042
173,0,2043
173,0,2044
173,0,2045
175,0.225,2018
175,0.116468,2019
175,0.061918,2020
175,0,2021
175,0,2022
175,0,2023
175,0,2024
175,0,2025
175,0,2026
175,0,2027
175,0,2028
175,0,2029
175,0,2030
175,0,2031
175,0,2032
175,0,2033
175,0,2034
175,0,2035
175,0,2036
175,0,2037
175,0,2038
175,0,2039
175,0,2040
175,0,2041
175,0,2042
175,0,2043
175,0,2044
175,0,2045
16,0.75,2018
16,0.693332,2019
16,0.66485,2020
16,0.622761,2021
16,0.599769,2022
16,0.551575,2023
16,0.48887,2024
16,0.417766,2025
16,0.332548,2026
16,0.22747,2027
16,0.090611,2028
16,0,2029
16,0,2030
16,0,2031
16,0,2032
16,0,2033
16,0,2034
16,0,2035
16,0,2036
16,0,2037
16,0,2038
16,0,2039
16,0,2040
16,0,2041
16,0,2042
16,0,2043
16,0,2044
16,0,2045
176,0.4,2018
176,0.227975,2019
176,0.141513,2020
176,0.013744,2021
176,0,2022
176,0,2023
176,0,2024
176,0,2025
176,0,2026
176,0,2027
176,0,2028
176,0,2029
176,0,2030
176,0,2031
176,0,2032
176,0,2033
176,0,2034
176,0,2035
176,0,2036
176,0,2037
176,0,2038
176,0,2039
176,0,2040
176,0,2041
176,0,2042
176,0,2043
176,0,2044
176,0,2045
158,0.75,2018
158,0.696852,2019
158,0.670139,2020
158,0.630665,2021
158,0.6091,2022
158,0.563901,2023
158,0.50509,2024
158,0.438403,2025
158,0.358478,2026
158,0.259927,2027
158,0.13157,2028
158,0,2029
158,0,2030
158,0,2031
158,0,2032
158,0,2033
158,0,2034
158,0,2035
158,0,2036
158,0,2037
158,0,2038
158,0,2039
158,0,2040
158,0,2041
158,0,2042
158,0,2043
158,0,2044
158,0,2045
161,0.75,2018
161,0.669145,2019
161,0.628506,2020
161,0.568452,2021
161,0.535646,2022
161,0.466882,2023
161,0.377413,2024
161,0.27596,2025
161,0.154369,2026
161,0.00444,2027
161,0,2028
161,0,2029
161,0,2030
161,0,2031
161,0,2032
161,0,2033
161,0,2034
161,0,2035
161,0,2036
161,0,2037
161,0,2038
161,0,2039
161,0,2040
161,0,2041
161,0,2042
161,0,2043
161,0,2044
161,0,2045
174,0.225,2018
174,0.084712,2019
174,0.014202,2020
174,0,2021
174,0,2022
174,0,2023
174,0,2024
174,0,2025
174,0,2026
174,0,2027
174,0,2028
174,0,2029
174,0,2030
174,0,2031
174,0,2032
174,0,2033
174,0,2034
174,0,2035
174,0,2036
174,0,2037
174,0,2038
174,0,2039
174,0,2040
174,0,2041
174,0,2042
174,0,2043
174,0,2044
174,0,2045
179,0.75,2018
179,0.682208,2019
179,0.648135,2020
179,0.597783,2021
179,0.570277,2022
179,0.512623,2023
179,0.437608,2024
179,0.352546,2025
179,0.250599,2026
179,0.124893,2027
179,0,2028
179,0,2029
179,0,2030
179,0,2031
179,0,2032
179,0,2033
179,0,2034
179,0,2035
